"id","clim_year","clim_month","clim_date","CMD","DD_0_","DD_18_","DD18_","DD5_","Eref","NFFD","PAS","ppt_mm","Rad","RH","tave","tmax","tmin"
"CAS-BOT-BC38217",1901,8,190108,207,0,4,165,566,207,31,0,0,-9999,38,23.3,35.2,11.4
"CAS-BOT-BC38217",1901,9,190109,135,0,50,50,390,150,27,0,15,-9999,35,18,30.3,5.6
"CAS-BOT-BC38217",1901,10,190110,105,0,83,20,349,109,28,0,4,-9999,39,16.3,27.3,5.3
"CAS-BOT-BC38217",1901,11,190111,43,1,192,1,204,65,20,0,22,-9999,44,11.8,21.4,2.1
"CAS-BOT-BC38217",1901,12,190112,48,10,329,0,88,52,7,0,4,-9999,37,7.3,17.9,-3.3
"CAS-BOT-BC434964",1901,1,190101,0,7,295,0,120,48,21,1,58,-9999,59,8.6,15,2.2
"CAS-BOT-BC434964",1901,2,190102,0,8,281,0,90,54,18,1,114,-9999,59,7.8,14.2,1.5
"CAS-BOT-BC434964",1901,3,190103,81,4,252,0,157,95,19,0,14,-9999,49,10,18.4,1.5
"CAS-BOT-BC434964",1901,4,190104,97,1,205,2,193,115,24,0,18,-9999,51,11.4,19.6,3.3
"CAS-BOT-BC434964",1901,5,190105,115,0,108,13,316,140,30,0,24,-9999,57,15.1,22.3,8
"CAS-BOT-BC434964",1901,6,190106,179,0,18,91,462,180,30,0,0,-9999,51,20.4,29.2,11.7
"CAS-BOT-BC434964",1901,7,190107,218,0,1,247,648,218,31,0,1,-9999,49,25.9,35.6,16.3
"CAS-BOT-BC434964",1901,8,190108,199,0,1,246,647,200,31,0,1,-9999,49,25.9,35.5,16.3
"CAS-BOT-BC434964",1901,9,190109,137,0,25,92,457,145,30,0,8,-9999,45,20.2,30.1,10.4
"CAS-BOT-BC434964",1901,10,190110,88,0,79,22,355,100,30,0,12,-9999,49,16.4,25.2,7.6
"CAS-BOT-BC434964",1901,11,190111,58,1,192,1,204,63,23,0,5,-9999,50,11.8,20.1,3.4
"CAS-BOT-BC434964",1901,12,190112,36,9,316,0,99,46,16,0,9,-9999,54,7.7,15,0.4
"CAS-BOT-BC541448",1901,1,190101,0,12,345,0,78,45,17,1,53,-9999,59,7,13.3,0.7
"CAS-BOT-BC541448",1901,2,190102,0,11,313,0,65,52,14,1,53,-9999,59,6.7,13,0.3
"CAS-BOT-BC541448",1901,3,190103,84,7,306,0,106,89,14,0,5,-9999,47,8.2,16.7,-0.4
"CAS-BOT-BC541448",1901,4,190104,79,2,250,1,145,111,18,0,32,-9999,48,9.7,18.3,1.1
"CAS-BOT-BC541448",1901,5,190105,121,0,160,6,260,143,27,0,22,-9999,50,13.3,21.7,4.8
"CAS-BOT-BC541448",1901,6,190106,192,0,52,38,375,192,28,0,1,-9999,37,17.5,29.2,5.8
"CAS-BOT-BC541448",1901,7,190107,218,0,6,123,522,218,31,0,0,-9999,39,21.8,33.5,10.2
"CAS-BOT-BC541448",1901,8,190108,205,0,6,138,539,206,31,0,1,-9999,37,22.4,34.5,10.3
"CAS-BOT-BC541448",1901,9,190109,122,0,56,44,378,139,28,0,17,-9999,42,17.6,28.1,7.1
